position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,Inducing disbelief in free will alters brain correlates of preconscious motor preparation: The brain minds whether we believe in free will or not,YF7AX8sQLQwJ,"D Rigoni, S Kühn, G Sartori… - Psychological science, 2011 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0956797611405680,"D Rigoni, S Kühn, G Sartori…",2011,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
1,Reducing self-control by weakening belief in free will,4CNSLlKCSwoJ,"D Rigoni, S Kühn, G Gaudino, G Sartori… - Consciousness and …, 2012 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1053810012001171,"D Rigoni, S Kühn, G Gaudino, G Sartori…",2012,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
2,Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.,iFa2rkfddMgJ,"H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de",http://www.prof-buettner.de/downloads/baumgartl2020e.pdf,"H Baumgartl, P Roessler, D Sauter, R Buettner",2020,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
3,Understanding the cognitive and genetic underpinnings of procrastination: Evidence for shared genetic influences with goal management and executive function …,n5De3etEYCUJ,"DE Gustavson, A Miyake, JK Hewitt… - Journal of Experimental …, 2015 - psycnet.apa.org",https://psycnet.apa.org/doiLanding?doi=10.1037/xge0000110,"DE Gustavson, A Miyake, JK Hewitt…",2015,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
4,Predicting pornography use over time: Does self-reported “addiction” matter?,gdFeaLWx0uUJ,"JB Grubbs, JA Wilt, JJ Exline, KI Pargament - Addictive Behaviors, 2018 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306460318300935,"JB Grubbs, JA Wilt, JJ Exline, KI Pargament",2018,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
5,Maniac or Master? Examining How Leader Self-Control of Affective Experiences Shapes Charismatic Leadership,-_lKq6hD0MUJ,"J Sosik, JU Chun, Z Ete, M Cheong… - The Journal of …, 2020 - jcli.scholasticahq.com",https://jcli.scholasticahq.com/article/17711.pdf,"J Sosik, JU Chun, Z Ete, M Cheong…",2020,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
6,Itsekontrolli ja hyvinvointi,a_6HqSOp_vwJ,T Kuittinen - 2009 - trepo.tuni.fi,https://trepo.tuni.fi/handle/10024/80566,T Kuittinen,2009,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
7,Effects of embarrassment and physiological reactivity on aggressive behavior,f70Xe8UNZp8J,MT Fleming - 2012 - search.proquest.com,https://search.proquest.com/openview/d902efd8d8fb64324242d268d7967ce8/1?pq-origsite=gscholar&cbl=18750,MT Fleming,2012,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
8,Yesterday at War with Tomorrow: Rebooting the Profession of Arms,zxEiUJoAneQJ,"FACT EMBRACES - JCLD/TABLE OF CONTENTS, 2020 - jcli.scholasticahq.com",https://jcli.scholasticahq.com/article/13536.pdf#page=108,FACT EMBRACES,2020,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
9,Investigating the cognitive underpinnings of procrastination: An intervention study and a longitudinal analysis,Y60cSgjyvYUJ,DE Gustavson - 2016 - search.proquest.com,https://search.proquest.com/openview/d62bfc9d1c46e687c752c839d53eb28c/1?pq-origsite=gscholar&cbl=18750,DE Gustavson,2016,https://scholar.google.com/scholar?q=%22marlow-crowne%22&cites=6099775482241657013&hl=en&num=21&as_ylo=2004&as_yhi=2022&as_vis=1&scipsc=1,1,marlow-crowne
