position,title,result_id,publication_info,link,Authors,Year,google_scholar_url,page_number,keyword
0,Rethinking social desirability scales: From impression management to interpersonally oriented self-control,4zP45n2WwxMJ,"L Uziel - Perspectives on Psychological Science, 2010 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/1745691610369465,L Uziel,2010,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
1,Measuring Social Desirability Using a Novel Machine Learning Approach Based on EEG Data.,iFa2rkfddMgJ,"H Baumgartl, P Roessler, D Sauter, R Buettner - PACIS, 2020 - prof-buettner.de",http://www.prof-buettner.de/downloads/baumgartl2020e.pdf,"H Baumgartl, P Roessler, D Sauter, R Buettner",2020,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
2,Struggling to be liked: The prospective effect of trait self‐control on social desirability and the moderating role of agreeableness,QCcF1GGHZRkJ,"O Stavrova, MD Kokkoris - International Journal of Psychology, 2019 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12444,"O Stavrova, MD Kokkoris",2019,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
3,Are social desirability scales desirable? A meta‐analytic test of the validity of social desirability scales in the context of prosocial behavior,Z9AW3-sXWSoJ,"L Lanz, I Thielmann, FH Gerpott - Journal of personality, 2022 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/jopy.12662,"L Lanz, I Thielmann, FH Gerpott",2022,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
4,Professionalism: self-control matters,av3lXubOLNcJ,"PJ Hershberger, TW Zryd, MB Rodes, A Stolfi - Medical teacher, 2010 - Taylor & Francis",https://www.tandfonline.com/doi/abs/10.3109/01421590903199676,"PJ Hershberger, TW Zryd, MB Rodes, A Stolfi",2010,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
5,NARCISSISM VERSUS MACHIAVELLIANISM AND THE ROLE OF SELF CONTROL TOWARDS SOCIAL DESIRABILITY.,IdsiXTtsao8J,"PB GALA, RS CHAUHAN, RA KING - Marketing Management …, 2020 - academia.edu",https://www.academia.edu/download/64794519/MMJ2.pdf,"PB GALA, RS CHAUHAN, RA KING",2020,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
6,The Balanced inventory of desirable responding (BIDR) a reliability generalization study,FCI7OyakZS8J,"A Li, J Bagger - Educational and psychological measurement, 2007 - journals.sagepub.com",https://journals.sagepub.com/doi/abs/10.1177/0013164406292087,"A Li, J Bagger",2007,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
7,Problem drinking and extradyadic sex in young adult romantic relationships,AVLWgxPr9HIJ,"SM Graham, S Negash, NM Lambert… - Journal of Social and …, 2016 - Guilford Press",https://guilfordjournals.com/doi/abs/10.1521/jscp.2016.35.2.152,"SM Graham, S Negash, NM Lambert…",2016,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
8,Low trait self‐control predicts self‐handicapping,4gGh3-SqJV8J,"A Uysal, CR Knee - Journal of Personality, 2012 - Wiley Online Library",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-6494.2011.00715.x,"A Uysal, CR Knee",2012,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
9,Passionate thinkers feel better,wjE3bPczEdAJ,"A Bertrams, O Dickhäuser - Journal of Individual Differences, 2012 - econtent.hogrefe.com",https://econtent.hogrefe.com/doi/full/10.1027/1614-0001/a000081,"A Bertrams, O Dickhäuser",2012,"https://scholar.google.com/scholar?q=%22social+desirability%22&cites=6099775482241657013&hl=en&start=860&num=21&as_ylo=2004&as_yhi=2022&as_sdt=5,31&as_vis=1&scipsc=1",1,social desirability
