Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Competence over communion: Implicit evaluations of personality traits during goal pursuit.","Roczniewska, Marta; Kolańczyk, Alina","Polish Psychological Bulletin",="00792993",,="20141201","45","4","418","8","2014-57297-004","10.2478/ppb-2014-0046","Walter de Gruyter","Journal Article","Goal Orientation; Personality Traits; Self-Regulation; Social Behavior; Agency; Attitudes; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"Research shows that goal-relevant objects are rated positively, which results from their functionality towards the aim. In previous studies these objects were always external to the agent. However, relevant knowledge of self is also potentially accessible during goal pursuit, as self-esteem is an indicator of aim’s feasibility. In two experimental studies we tested whether goal activation affects temporal changes in automatic evaluations of personality traits related to the dimensions of agency and communion. We administered affect misattribution procedure where participants rated neutral Chinese hexagrams proceeded by words describing traits (75 ms masked presentation). The list of words comprised agentic (e.g. agile) and communal (e.g. trustworthy) traits. The rating took place twice—before and after introducing a manual task. In the first study, goal activation led to slightly more positive implicit evaluations of agentic and more negative evaluation of communal traits, which is consistent with empirical data on self-perception depending on agentic knowledge rather than communal one. In the second study we showed that goal activation led to changes only for promotion-, but not prevention-oriented individuals, which is explained by motivation strength. The results indicate that valuation of traits changes temporarily along with goal pursuit. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-57297-004&site=ehost-live&scope=site"
"Construct validity and confirmatory factor analysis of the Self-Control and Self-Management Scale.","Mezo, Peter G.; Short, Megan M.","Canadian Journal of Behavioural Science / Revue canadienne des sciences du comportement",="0008400X",,="20120101","44","1","1","8","2011-17128-001","10.1037/a0024414","Educational Publishing Foundation","Journal Article","Factor Analysis; Self-Control; Self-Management; Test Construction; Test Validity; Confirmatory Factor Analysis; Construct Validity; Self-Regulation; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"The Self-Control and Self-Management Scale (SCMS) was developed to be a content and construct valid measure of the self-regulatory model of self-management (Mezo, 2009). The purpose of the present study was to expand on previous findings by evaluating construct and factorial validity in a Canadian university sample (n = 410). The descriptive statistics and reliability estimates of the SCMS were replicated in the current sample. In terms of construct validity, convergent validity was obtained with mindfulness, positive affect, negative affect, life satisfaction, depression, stress, and anxiety. Likewise, discriminant construct validity was obtained with social desirability, irrational beliefs, and anxiety sensitivity. Furthermore, the three-factor structure of the SCMS was supported by a confirmatory factor analysis. Taken as a whole, these results suggest that the SCMS is a robust measure of self-management and should be considered a viable measure in future research and applied settings. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-17128-001&site=ehost-live&scope=site"
"Decision-making style mediates the relationship between trait self-control and self-reported criminal behavior.","McClanahan, William; van der Linden, Sander; Ruggeri, Kai","Personality and Individual Differences",="01918869",,="20191201","151",,,,"2019-56845-001","10.1016/j.paid.2019.109537","Elsevier Science","Journal Article","Criminal Behavior; Decision Making; Self-Control; Dual Process Models; Intuition; Structural Equation Modeling; Test Construction; Adulthood (18 yrs & older); Male; Female",,"Utilizing a measure of decision-making styles, we examined how a dual-process model of criminal decision-making mediated the relationship between trait self-control and self-reported criminal behavior. Structural Equation Modeling revealed that a dual-process model of decision-making mediated the relationship between trait self-control and self-reported criminal behavior. Although deliberative decision-making did not hold a significant association with self-reported criminal behavior, trait self-control negatively associated with an intuitive style, which in turn positively associated with self-reported criminal behavior. These findings imply that intuitive decision-making may be a critical mediator between self-control and criminal behavior. Theoretical and practical implications are discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-56845-001&site=ehost-live&scope=site"
"Divine struggles: Links with body image concerns, binging, and compensatory behaviours around eating.","Exline, Julie J.; Homolka, Steffany J.; Harriott, Valencia A.","Mental Health, Religion & Culture",="13674676",,="20160101","19","1","8","15","2016-13634-002","10.1080/13674676.2015.1087977","Taylor & Francis","Journal Article","Binge Eating; Body Image; Religious Beliefs; Spirituality; Adulthood (18 yrs & older); Male; Female",,"[Correction Notice: An Erratum for this article was reported in Vol 19(3) of Mental Health, Religion & Culture (see record [rid]2016-37254-001[/rid]). When the above article was first published online, the words 'Divine struggles' in the beginning of the title were missing. This has now been corrected in both the print and online versions of the article.] Many people experience divine struggle—negative thoughts or feelings about God. This study examined connections between divine struggle (anger toward God; concern about God's disapproval), body image concerns, binge eating, and compensatory behaviours (purging, fasting, exercise) among undergraduates (N = 413; 47% women). Measures of divine struggle showed weak, inconsistent links with binge eating but consistent positive links with body image concerns and compensatory behaviours. These associations were not moderated by gender and remained significant when controlling 16 relevant variables (e.g., personality, self-concept, depression, religiousness). Body image/eating variables explained 9–11% of variance in current divine struggles. Binging correlated positively with protest and anger suppression toward God but also with approach behaviours. Compensatory behaviours correlated positively with protest, disengagement, and anger suppression. Spiritual grandiosity – seeing oneself as having a special/superior relationship with God – predicted more compensatory behaviours. Some nonbelievers also reported divine struggles, and these were associated with body image/eating disturbances. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-13634-002&site=ehost-live&scope=site"
"Effectiveness and implementation of evidence-based practices in residential care settings.","James, Sigrid; Alemi, Qais; Zepeda, Veronica","Children and Youth Services Review",="01907409",,="20130401","35","4","642","15","2013-09134-009","10.1016/j.childyouth.2013.01.007","Elsevier Science","Journal Article","Evidence Based Practice; Group Homes; Intervention; Residential Care Institutions; Treatment Effectiveness Evaluation; Adolescent Development; Childhood Development; Psychosocial Factors",,"Purpose: Prompted by calls to implement evidence-based practices (EBPs) into residential care settings (RCS), this review addresses three questions: (1) Which EBPs have been tested with children and youth within the context of RCS? (2) What is the evidence for their effectiveness within such settings? (3) What implementation issues arise when transporting EBPs into RCS? Methods: Evidence-based psychosocial interventions and respective outcome studies, published from 1990 to 2012, were identified through a multi-phase search process, involving the review of four major clearinghouse websites and relevant electronic databases. To be included, effectiveness had to have been previously established through a comparison group design regardless of the setting, and interventions tested subsequently with youth in RCS. All outcome studies were evaluated for quality and bias using a structured appraisal tool. Results: Ten interventions matching a priori criteria were identified: Adolescent Community Reinforcement Approach, Aggression Replacement Training, Dialectical Behavioral Therapy, Ecologically-Based Family Therapy, Eye Movement and Desensitization Therapy, Functional Family Therapy, Multimodal Substance Abuse Prevention, Residential Student Assistance Program, Solution-Focused Brief Therapy, and Trauma Intervention Program for Adjudicated and At-Risk Youth. Interventions were tested in 13 studies, which were conducted in different types of RCS, using a variety of study methods. Outcomes were generally positive, establishing the relative effectiveness of the interventions with youth in RCS across a range of psychosocial outcomes. However, concerns about methodological bias and confounding factors remain. Most studies addressed implementation issues, reporting on treatment adaptations, training and supervision, treatment fidelity and implementation barriers. Conclusion: The review unearthed a small but important body of knowledge that demonstrates that EBPs can be implemented in RCS with encouraging results. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-09134-009&site=ehost-live&scope=site"
"Effects of an ultra-brief computer-based mindfulness training on mindfulness and self-control: A randomised controlled trial using a 40-day ecological momentary assessment.","Rowland, Zarah; Wenzel, Mario; Kubiak, Thomas","Mindfulness",="18688527",,="20191101","10","11","2312","15","2019-45431-001","10.1007/s12671-019-01204-9","Springer","Journal Article","Computer Training; Self-Control; Mindfulness; Mindfulness-Based Interventions; Ecological Momentary Assessment; Adulthood (18 yrs & older); Male; Female",,"Objectives: This study examined whether an ultra-brief mindfulness (UBM) training can change state mindfulness and perceived state self-control in daily life (primary outcomes), ultimately improving habitual mindfulness and perceived self-control (secondary outcomes). To gain a better understanding of the beneficial effects of practising mindfulness, the study additionally examined how mindfulness and self-control were related to each other during the training. Methods: The randomised controlled trial combined a 40-day ecological momentary assessment with seven weekly surveys. Undergraduate students (Nenrolled = 137, 104 females, Mage = 23.08, SD = 5.04 years), were either assigned to the UBM training (n = 68) or wait-list control condition (n = 69). Primary outcomes were assessed six times a day using ecological momentary assessments (7-point scales). Secondary outcomes were measured weekly (6-point scales). A breath counting task at pre- and post-training was an additional behavioural measure of mindfulness. Results: An intention-to-treat multivariate mixed model identified day-to-day training effects (group × days-interaction) on state mindfulness (b = .005, p = .001) and perceived state self-control (b = .007, p < .001). A mediation analysis revealed that state mindfulness mediated the training effect on perceived state self-control (b = .001, p < .001). Habitual mindfulness (b = .049, p < .001) and breath counting task performance (b = 2.446, p = .043) also improved with training whereas habitual perceived self-control did not. Conclusions: These findings suggest that state mindfulness and perceived state self-control may be interconnected in daily life and may be similarly improved through an UBM training. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-45431-001&site=ehost-live&scope=site"
"How are Sociosexuality, Sex Drive, and Lifetime Number of Sexual Partners Related?","Ostovich, Jennifer M.; Sabini, John","Personality and Social Psychology Bulletin",="01461672",,="20041001","30","10","1255","12","2004-18691-002","10.1177/0146167204264754","Sage Publications","Journal Article","Sex Drive; Sex Roles; Sexual Orientation; Sexuality; Sexual Partners; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female",,"In two studies (ns=277 and 221), the authors examined the relationships among sex drive, sociosexuality, lifetime number of sex partners, and gender identity. They found that sex drive is highly and positively correlated with sociosexual orientation, and that both sex drive and sociosexual orientation are positively correlated with lifetime number of sex partners. However, partial correlations revealed that sociosexual orientation is an independent predictor of lifetime number of sex partners, whereas sex drive is not. The authors were also able to replicate and extend Mikach and Bailey's (1999) finding that gender identity is related to women's lifetime number of sex partners. More masculine women had more sex partners and had a less restricted sociosexual orientation than did less masculine women; less masculine men had a higher sex drive than did more masculine men. The findings are discussed with regard to theory and research on sex drive and sociosexuality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-18691-002&site=ehost-live&scope=site"
"I want to keep on exercising but I don’t: The negative impact of momentary lacks of self-control on exercise adherence.","Englert, Chris; Rummel, Jan","Psychology of Sport and Exercise",="14690292",,="20160901","26",,"24","8","2016-40337-005","10.1016/j.psychsport.2016.06.001","Elsevier Science","Journal Article","Exercise; Self-Control; Self-Regulation; Stress; Ego; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male; Female",,"Objectives: We investigated the impact of state and trait self-control strength on exercise execution. We hypothesized that state self-control strength is reduced on days that are perceived as stressful and that reductions in self-control strength result in a lower likelihood to work out. Additionally, trait self-control strength may affect the execution of workout plans. Design: University students, who stated that they have not been exercising regularly for at least one month, filled in a trait self-control inventory, a personality questionnaire, and were instructed to perform a daily workout over a one-week period. Perceived stress levels, state self-control strength, and workout completion were assessed on a daily basis. Results: Results revealed that people were less likely to exercise on days they perceived as stressful. State self-control mediated the relation between stress and exercise completion. Trait self-control and other personality variables did not affect workout completion. Conclusions: Results indicate that daily stress is associated with self-control depletion and a lower likelihood to work out. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-40337-005&site=ehost-live&scope=site"
"Implicit versus explicit measures of self-concept of self-control and their differential predictive power for spontaneous trait-relevant behaviors.","Huntjens, Rafaële J. C.; Rijkeboer, Marleen M.; Krakau, Andrej; de Jong, Peter J.","Journal of Behavior Therapy and Experimental Psychiatry",="00057916",,="20140301","45","1","1","7","2013-42875-003","10.1016/j.jbtep.2013.07.001","Elsevier Science","Journal Article","Behavior Analysis; Personality Traits; Self-Concept; Self-Control; Mental Disorders; Adulthood (18 yrs & older); Male; Female",,"Background and objectives: Low trait self-control constitutes a core criterion in various psychiatric disorders. Personality traits such as low self-control are mostly indexed by self-report measures. However, several theorists emphasized the importance of differentiating between explicit and implicit indices of personality traits, Therefore, the present study examined the unique predictive validity of an implicit measure of trait self-control for spontaneous dysfunctional behavior. Methods: As a measure of implicit trait self-control, we used an irrelevant feature task: a speeded reaction time task comprising a task-relevant stimulus feature (i.e., capital vs. lower case letter type) and a task-irrelevant feature (high vs. low self-control word type). The irrelevant feature had to be ignored, while participants (n = 34) responded to the relevant stimulus feature. However, their response was either congruent or incongruent with the irrelevant stimulus feature, resulting in facilitated or deteriorated task performance. As indicators of trait-related spontaneous dysfunctional behavior, we included indices of frustration tolerance and the preference for short-term reward over meeting long-term goals. We also included two explicit measures of trait self-control: a self-report questionnaire and an explicit self-relevance rating of the implicit task stimuli. Results: Specifically the implicit measure of trait self-control showed predictive validity for the target self-control behaviors. Limitations: The predictive validity of implicit measures of personality traits requires further study in larger, non-student samples. Conclusions: As predicted, the implicit measure of trait self-control showed superior predictive power for spontaneous trait-related behavior. This finding points to the relevance of complementing the routinely used self-report measures with implicit measures of trait self-control. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-42875-003&site=ehost-live&scope=site"
"Inducing disbelief in free will alters brain correlates of preconscious motor preparation: The brain minds whether we believe in free will or not.","Rigoni, Davide; Kühn, Simone; Sartori, Giuseppe; Brass, Marcel","Psychological Science",="09567976",,="20110501","22","5","613","6","2011-09890-009","10.1177/0956797611405680","Sage Publications","Journal Article","Brain; Motor Processes; Volition; Attitudes; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female",,"The feeling of being in control of one’s own actions is a strong subjective experience. However, discoveries in psychology and neuroscience challenge the validity of this experience and suggest that free will is just an illusion. This raises a question: What would happen if people started to disbelieve in free will? Previous research has shown that low control beliefs affect performance and motivation. Recently, it has been shown that undermining free-will beliefs influences social behavior. In the study reported here, we investigated whether undermining beliefs in free will affects brain correlates of voluntary motor preparation. Our results showed that the readiness potential was reduced in individuals induced to disbelieve in free will. This effect was evident more than 1 s before participants consciously decided to move, a finding that suggests that the manipulation influenced intentional actions at preconscious stages. Our findings indicate that abstract belief systems might have a much more fundamental effect than previously thought. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://proxy.lib.umich.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-09890-009&site=ehost-live&scope=site"
