Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Fatfouta R., Rogoza R., Brud P.P., Rentzsch K.","55671002800;56543468500;57211448384;36106470700;","Too tempting to resist? Self-control moderates the relationship between narcissism and antisocial tendencies",2022,"Journal of Research in Personality","96",,"104156","","",,1,"10.1016/j.jrp.2021.104156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121459054&doi=10.1016%2fj.jrp.2021.104156&partnerID=40&md5=3849665c4e813437e6d6100f72be7d61","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85121459054
"Pechorro P., Caramelo V., Oliveira J.P., Nunes C., Curtis S.R., Jones D.N.","55938899300;57200374015;56789449500;7006695278;57192210080;7407681558;","The Short Dark Triad (SD3): Adaptation and Psychometrics among At-Risk Male and Female Youths",2019,"Deviant Behavior","40","3",,"273","286",,8,"10.1080/01639625.2017.1421120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040984115&doi=10.1080%2f01639625.2017.1421120&partnerID=40&md5=c3220ca1532a2dba7d8fa4c9ec5a31d2","Taylor and Francis Inc.",,Article,"Final","",Scopus,2-s2.0-85040984115
"Ren M., Zhong B., Fan W., Dai H., Yang B., Zhang W., Yin Z., Liu J., Li J., Zhan Y.","57203825213;57203824002;55223052500;56610511700;57203822756;57203823463;57203823606;57203823345;57196157591;56377360100;","The influence of self-control and social status on self-deception",2018,"Frontiers in Psychology","9","SEP","1256","","",,6,"10.3389/fpsyg.2018.01256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053082416&doi=10.3389%2ffpsyg.2018.01256&partnerID=40&md5=bfed84800909dbd08fae3a4cb9eb9e15","Frontiers Media S.A.",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85053082416
"Elliot A.J., Aldhobaiban N., Murayama K., Kobeisy A., Gocłowska M.A., Khyat A.","7005287437;56811661200;11042338700;55795482600;55319088500;57090867300;","Impression management and achievement motivation: Investigating substantive links",2018,"International Journal of Psychology","53","1",,"16","22",,9,"10.1002/ijop.12252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956620188&doi=10.1002%2fijop.12252&partnerID=40&md5=e3750b7336e806a42a7144af2188b35b","Wiley-Blackwell Publishing Ltd","26805032",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84956620188
"Helzer E.G., Furr R.M., Hawkins A., Barranti M., Blackie L.E.R., Fleeson W.","25927132500;55664468200;56419421600;56419834600;47061119800;6603964679;","Agreement on the Perception of Moral Character",2014,"Personality and Social Psychology Bulletin","40","12",,"1698","1710",,25,"10.1177/0146167214554957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911164059&doi=10.1177%2f0146167214554957&partnerID=40&md5=284b39a9a6384450aa3c065a7958e764","SAGE Publications Inc.","25326476",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84911164059
"Gebauer J.E., Bleidorn W., Gosling S.D., Rentfrow P.J., Lamb M.E., Potter J.","11140570500;27367623900;16733981500;6602274526;7102285207;7403341430;","Cross-cultural variations in big five relationships with religiosity: A sociocultural motives perspective",2014,"Journal of Personality and Social Psychology","107","6",,"1064","1091",,63,"10.1037/a0037683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925435340&doi=10.1037%2fa0037683&partnerID=40&md5=6f60fa2b210f578888a4ae25c8d30a79","American Psychological Association Inc.","25180757",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84925435340
"Uziel L.","16305445700;","Impression management (""Lie"") scales are associated with interpersonally oriented self-control, not other-deception",2014,"Journal of Personality","82","3",,"200","212",,27,"10.1111/jopy.12045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899656415&doi=10.1111%2fjopy.12045&partnerID=40&md5=681415acde4180655b0c1c86e6a97087","Blackwell Publishing Ltd","23750550",Article,"Final","",Scopus,2-s2.0-84899656415
"Uziel L.","16305445700;","Rethinking social desirability scales: From impression management to interpersonally oriented self-control",2010,"Perspectives on Psychological Science","5","3",,"243","262",,193,"10.1177/1745691610369465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649309447&doi=10.1177%2f1745691610369465&partnerID=40&md5=dd5d9beebf4eb20c0c1e8af7dd1361c4",,,Review,"Final","All Open Access, Green",Scopus,2-s2.0-78649309447
"Sedikides C., Gregg A.P.","7003355759;7005734740;","Self-Enhancement: Food for Thought",2008,"Perspectives on Psychological Science","3","2",,"102","116",,449,"10.1111/j.1745-6916.2008.00068.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993767922&doi=10.1111%2fj.1745-6916.2008.00068.x&partnerID=40&md5=bff7919a9225bf3543fcbf59470ce227",,,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84993767922
"Li A., Bagger J.","36985142700;23487873900;","The Balanced Inventory of Desirable Responding (BIDR): A reliability generalization study",2007,"Educational and Psychological Measurement","67","3",,"525","544",,60,"10.1177/0013164406292087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248188163&doi=10.1177%2f0013164406292087&partnerID=40&md5=e428c8b85f847aba7926ee3081e9119b","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-34248188163
